holding_month,portfolio_return,benchmark_return,beat
2023-08,-0.013381325337442195,-0.025311585618969512,1
2023-09,0.025901760586085742,0.01997008382760801,1
2023-10,-0.027250259613302474,-0.02844950937708457,1
2023-11,0.08290882306525012,0.05521866286504973,1
2023-12,0.09728999509026184,0.07938400101325427,1
2024-01,0.07850453552624731,-0.00026229327148741266,1
2024-02,0.055595949853489056,0.011833910990209695,1
2024-03,0.01897993893419614,0.015653147005840973,1
2024-04,0.014649646319313014,0.012449108474530624,1
2024-05,0.02988315369180996,-0.003280269499686961,1
2024-06,0.02620504293861158,0.06568371155800734,0
2024-07,0.05673833179445682,0.03917228224200997,1
2024-08,-0.01804567412868586,0.01141229963348378,0
2024-09,0.042436506696150844,0.022783019428670892,1
2024-10,-0.09233275597060392,-0.062202523357425266,0
2024-11,0.0013633595686906586,-0.0030675036717089377,1
2024-12,0.0022356448047053945,-0.020152417419844082,1
2025-01,-0.04867776619484271,-0.005768710244958619,0
2025-02,-0.026042812352878354,-0.058859811811948104,1
2025-03,0.07202418551564596,0.06303588297242446,1
2025-04,0.022712287397928844,0.03464594047029368,0
2025-05,-0.0006048882933367028,0.017115828751304685,0
2025-06,0.02867047984259995,0.030962760649193788,0
2025-07,-0.05335180306855888,-0.029341166004691055,0
2025-08,-0.040441033702003436,-0.013787757359694952,0
2025-09,0.04210937259091081,0.0075429291947182175,1
2025-10,0.034628800764777125,0.04514223256985672,0
2025-11,0.023901221561477372,0.018694041310779452,1
2025-12,0.024783700619829076,-0.0027993031318993555,1
2026-01,-0.019272679857047705,-0.030959142122343852,1
2026-02,0.03062887620826029,-0.005608070882856531,1
2026-03,-0.14348151077950394,-0.11308191662380629,0
2026-04,0.0853054506329309,0.07461019013586245,1
2026-05,-0.012267629645492873,-0.01874358007379917,1
2026-06,-0.02265281785603378,0.02284507012347259,0
