month,ml_return,rules_return,index_ret
2025-01,-0.049185697204513046,-0.026042812352878354,-0.005768710244958619
2025-02,0.08031426587001747,0.07202418551564596,-0.058859811811948104
2025-03,0.0283409018348277,0.022712287397928844,0.06303588297242446
2025-04,0.034180318944834955,-0.0006048882933367028,0.03464594047029368
2025-05,0.041502566128858144,0.02867047984259995,0.017115828751304685
2025-06,-0.01949314277668627,-0.05335180306855888,0.030962760649193788
2025-07,0.030159988042479935,-0.040441033702003436,-0.029341166004691055
2025-08,0.010526862778839352,0.04210937259091081,-0.013787757359694952
2025-09,0.03172847912489481,0.034628800764777125,0.0075429291947182175
2025-10,0.026111007835622747,0.023901221561477372,0.04514223256985672
2025-11,0.016720076459622025,0.024783700619829076,0.018694041310779452
2025-12,-0.022468268099041865,-0.019272679857047705,-0.0027993031318993555
2026-01,-0.03120981321167845,0.03062887620826029,-0.030959142122343852
2026-02,-0.10676717532772209,-0.14348151077950394,-0.005608070882856531
2026-03,0.040471680992239537,0.0853054506329309,-0.11308191662380629
2026-04,-0.016972564397292268,-0.012267629645492873,0.07461019013586245
2026-05,0.011527037059212675,-0.02265281785603378,-0.01874358007379917
